curve,threshold,fpr,tpr,recall,precision
ROC,inf,0.0,0.0,,
ROC,0.9999992578045699,0.0,2.6448029621793176e-05,,
ROC,0.9999792623317163,0.0,0.001348849510711452,,
ROC,0.9999682167985987,0.0,0.002671250991801111,,
ROC,0.9999511717519255,0.0,0.003993652472890769,,
ROC,0.9999312875678703,0.0,0.005316053953980429,,
ROC,0.9999024953398782,0.0,0.006638455435070087,,
ROC,0.9998678997193442,0.0,0.007960856916159746,,
ROC,0.9998338114781516,0.0,0.009283258397249404,,
ROC,0.9997981810351195,0.0,0.010605659878339065,,
ROC,0.9997838158028377,0.0,0.011928061359428723,,
ROC,0.9997669605541414,0.0,0.013250462840518382,,
ROC,0.9997535399690584,0.0,0.01457286432160804,,
ROC,0.9997339112372732,0.0,0.0158952658026977,,
ROC,0.9997092725539047,0.0,0.017217667283787357,,
ROC,0.9996811355985327,0.0,0.018540068764877016,,
ROC,0.9996246099227257,0.0,0.019862470245966674,,
ROC,0.9988725812674315,0.0,0.021184871727056333,,
ROC,0.99763600746469,0.0,0.022507273208145995,,
ROC,0.9966410538653061,0.0,0.023829674689235653,,
ROC,0.9949443594215938,0.0,0.025152076170325312,,
ROC,0.9932529239066441,0.0,0.02647447765141497,,
ROC,0.9914990710157997,0.0,0.02779687913250463,,
ROC,0.9898509664531603,0.0,0.029119280613594287,,
ROC,0.9891292351046076,0.0,0.030441682094683946,,
ROC,0.9863675963659267,0.0,0.03176408357577361,,
ROC,0.9851077889974125,3.215951117543013e-05,0.03303358899761968,,
ROC,0.9829996103629471,3.215951117543013e-05,0.03435599047870934,,
ROC,0.9796724086391837,4.82392667631452e-05,0.035651943930177205,,
ROC,0.9786376432598867,4.82392667631452e-05,0.03697434541126686,,
ROC,0.9756832421566777,4.82392667631452e-05,0.03829674689235652,,
ROC,0.9738763790047363,8.039877793857533e-05,0.03956625231420259,,
ROC,0.9719063372647787,8.039877793857533e-05,0.04088865379529225,,
ROC,0.9685076650985099,9.64785335262904e-05,0.04218460724676012,,
ROC,0.9661398658940644,0.0001447178002894356,0.0434276646389844,,
ROC,0.9645603579934955,0.00016079755587715066,0.04472361809045226,,
ROC,0.9624727683347298,0.00022511657822801094,0.04594022745305475,,
ROC,0.9588120628917878,0.00025727608940344105,0.04720973287490082,,
ROC,0.9569439555824562,0.0002894356005788712,0.04847923829674689,,
ROC,0.9543193126849866,0.0002894356005788712,0.049801639777836554,,
ROC,0.9520233335754148,0.0003376748673420164,0.05104469717006083,,
ROC,0.9500913774643969,0.00035375462292973147,0.0523406506215287,,
ROC,0.9485619149270242,0.00041807364528059174,0.05358370801375298,,
ROC,0.9475658647394858,0.0004502331564560219,0.05485321343559905,,
ROC,0.946696680417309,0.0005306319343945972,0.05604337476857974,,
ROC,0.946059441703004,0.0005467116899823122,0.05733932822004761,,
ROC,0.9454453777330646,0.0005627914455700274,0.05863528167151547,,
ROC,0.9448833859063239,0.0006271104679208876,0.059851891034117956,,
ROC,0.9443704883858874,0.0006753497346840328,0.061094948426342235,,
ROC,0.9437446647570392,0.000723589001447178,0.062338005818566515,,
ROC,0.9430682579621856,0.0008200675349734684,0.06350171912192541,,
ROC,0.9422895674093111,0.0008843865573243286,0.06471832848452791,,
ROC,0.9414142110717295,0.0009808650908506192,0.0658820417878868,,
ROC,0.9407435471893886,0.0010291043576137642,0.06712509918011109,,
ROC,0.9400550954601296,0.0010451841132014794,0.06842105263157895,,
ROC,0.9395014127291448,0.0011255828911400547,0.06961121396455965,,
ROC,0.9388498272932856,0.0011738221579031998,0.07085427135678392,,
ROC,0.9380662338779726,0.00120598166907863,0.07212377677863,,
ROC,0.9372402343123207,0.001222061424666345,0.07341973023009786,,
ROC,0.9364227697930261,0.0012863804470172053,0.07463633959270034,,
ROC,0.935445637980174,0.0013506994693680656,0.07585294895530283,,
ROC,0.9343944563407686,0.0013506994693680656,0.0771753504363925,,
ROC,0.9333793251021886,0.0014150184917189259,0.07839195979899498,,
ROC,0.932541826963234,0.0014954172696575012,0.07958212113197567,,
ROC,0.931631514655575,0.0015114970252452162,0.08087807458344354,,
ROC,0.9305333917606111,0.0015758160475960765,0.08209468394604602,,
ROC,0.9295331749874706,0.0016401350699469367,0.0833112933086485,,
ROC,0.9284835704564119,0.0017205338478855122,0.0845014546416292,,
ROC,0.9273314270095269,0.0017526933590609423,0.08577096006347527,,
ROC,0.9258597085198916,0.0017687731146486573,0.08706691351494314,,
ROC,0.9241148958086436,0.0017848528702363725,0.088362866966411,,
ROC,0.9221189925826675,0.0018491718925872326,0.08957947632901349,,
ROC,0.9203376505490162,0.0018974111593503778,0.09082253372123776,,
ROC,0.9183790194083873,0.001929570670525808,0.09209203914308384,,
ROC,0.9163571421763,0.0019617301817012383,0.09336154456492991,,
ROC,0.9141158238394843,0.0020582087152275284,0.09452525786828882,,
ROC,0.9116828137043707,0.002154687248753819,0.09568897117164771,,
ROC,0.9084257250330154,0.002154687248753819,0.09701137265273738,,
ROC,0.906038981949418,0.002170767004341534,0.09830732610420524,,
ROC,0.9042148154545103,0.002202926515516964,0.0995768315260513,,
ROC,0.9021903953830986,0.0022833252934555395,0.100766992859032,,
ROC,0.9001810639928405,0.002363724071394115,0.10195715419201269,,
ROC,0.8986251104538734,0.0025084418716835506,0.10304152340650621,,
ROC,0.897213868489885,0.002621000160797556,0.10420523670986512,,
